Name in Sources,Transliterated Name,Arabic Name,Start-Month,Start-Day,Start-Year,End-Month,End-Day,End-Year,Tenure (Years),Fate,Ethnicity,Prior Leadership Experience,Type of Experience,HistoricName_City_Origin,ModernName_City_Origin,ModernName_Country_Origin,Algerian Wife/Wives,Algerian family,Citations,Notes,Additional notes,Additional Notes
Omar ben Abd-el Rahman (known as Bash-Agha),ʿmar Bāy Ben ʿbd Al-Raḥmān,عمر باي بن عبد الرحمان,,,1679,08,,1688,9,Died in office,Ottoman,1,Bash-Agha,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 89; Mercier, 237; Gaïd, 24-24; Al-Antari, 49.","Presented as the son of Abd-el-Rahman Dali Bey. He is most likely Ottoman, but he may have been a Kulughlu. Known by ""Bash-Agha,"" which was probably the position he held before becoming Bey (Vayssettes, 89). [vkd: from Mercier: ""Cependant, à Constantine, Abou-Hafs-Omar dit Bach-Agha, que l’on présente comme fils de Dali-Bey, avait été investi de l’autorité après l’exécution de son père (1679)."" ]","Bash-agha = Commander of a military unit. Mercier writes his name as ""Abou-Hafs-Omar"" (Mercier, 237)",1679 - Aug 1688
Sid-Chaban bey        ,Shʿbān Bāy,شعبان باي,08,,1688,,,1692,4,Dismissed,Ottoman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 89-91; Mercier, 237-238. Gaid, 25; Al-Antari, 50.","Little is known about him. We might assume he was Ottoman since a special note is made about Ahmed Bey Ben Ferhat being Algerian. He is also listed as related to Hadj Chabane, Ottoman Pasha in Algiers. (Gaid, 25) In a footnote, Gaid writes, ""Le premier des Chaabane ou Ben Chaabane connu fut officier des janissaires commandant la place de Zemmoura."" (n. 15, p. 25)",,Aug 1688 - 1692
Ali Khudja bey (known as El-Anteri)         ,ʿlī Khūdja Bāy (known as Al-Anteri),علي خوجة باي,,,1692,,,1700,8,Killed in battle,Ottoman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 91-95; Mercier, 238-241; Al-Antari, 50-1.","Little is known about him. We might assume he was Ottoman or Kulughlu since a special note is made about Ahmed Bey Ben Ferhat being Algerian and because he is referred to as a relative within the Ferhat Bey family. ""L'administration de Constantine était entre les mains des Oulad Ferhat bey, famille a laquelle appartient Ali Khodja"" (El Hadj Ahmed El Mobarek, ""Kitab Tarikh Qosantina,"" Revue Africaine, tome 57 (1913): 265-301. Quote from page 287.",,
Ahmed bey ben Ferhat        ,Aḥmed Ben Ferḥāt Bāy, أحمد بن فرحات باي,,,1700,,,1703,3,Exiled and Assassinated,Kulughlu,unknown,unknown,unknown,unknown,Algeria,unknown,unknown,"Vayssettes, 95; Mercier, 241; Gaïd, 27; Al-Antari, 51.","Grandson of Ferhat: ""était petit-fils de Ferhat Bey, neveu de Redjeb-Bey"" (Gaïd, 27).  Does this mean that he was Mohammed Bey's son or the son of another brother? ""Il  était donc d'origine arabe"" (Vayssettes, 95). But Gaid lists him as a Kulughlu: ""Kurughli, Ahmed Ben Ferhat, n'avait pas la cote chez les Turcs et la milice en particulier, mais il avait le soutien des cheikhs sur lesquels il reposait toute son autorité."" (Gaid, 27) ","Gaïd's interpretation is probably the correct one if both Redjeb and Ferhat were Ottoman, as Feraud suggests (see citation above).",
Ibrahim bey El Euldj         ,Ibrāhīm Al-ʿlj Bāy,إبراهيم العلج باي,,,1703,,,1707,4,Assassinated,European,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 95; Mercier, 242-3; Gaïd, 27-28; Al-Antari, 52.","Christian (European) who converted to Islam. (Vayssettes, 95). descended from El Euldj Ali-Pasha- thus establishing a patronage relationship (?)",,
Hamouda bey         ,Ḥamūda Bāy,حمودة باي,,,1707,,,1708,0.5,unknown,Algerian,unknown,unknown,unknown,unknown,Algeria,1,unknown,"Vayssettes, 97; Mercier, 243; Gaïd, 28; Al-Antari, 52.","""Ce bey était Arabe d'origine."" (Vayssettes, 97)",See social network graph. Hamuda Bey's wife was determined by inference.,
Ali bey ben Hamouda         ,ʿlī Ben Ḥamūda Bāy,علي بن حمودة باي,,,1708,,,1708,0.5,unknown,Algerian,unknown,unknown,unknown,unknown,Algeria,unknown,unknown,"Vayssettes, 97; Mercier, 243; Gaïd, 28;Al-Antari, 53.","Son of Hamouda Bey. By inference, we know that he, too, must have been Algerian and of Arab descent.",,
Hussein-Chaouch Bey        ,Ḥussein Shāūsh Bāy,حسين شاوش,,,1709,,,1710,1,unknown,unknown,1,Chaouche,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 97; Mercier, 243; Gaïd, 29; Al-Antari, 53.",,,
Abd-el Rahman ben Ferhat bey         ,ʿbd Al-Raḥmān Ben Ferḥāt Bāy,عبد الرحمان بن فرحات باي,,,1710,,,1710,0.3333333333,unknown,Kulughlu,unknown,unknown,unknown,unknown,Algeria,unknown,unknown,"Vayssettes, 97; Mercier, 243; Gaïd, 29; Al-Antari, 53.","Given that Ferhat's grandson, Ahmed Ben Ferhat, was Kulughlu, it seems reasonable to assume that another grandson, Abd-el Rhaman, was also Kulughlu. (Gaïd, 29)",,
Hossein (known as Denguezli) Bey ,Ḥussein Denjezly Bāy,حسين دنجزلي باي,,,1710,,,1710,0.3333333333,Abandoned office,Ottoman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 98; Mercier, 243; Gaïd, 29; Al-Antari, 53.","""Il était Turc de naissance."" (Vayssettes, 98). Fled to Tunisia, where he took refuge & obtained a place at court. (Gaïd, 29)",,
Ali ben Sala bey         ,"ʿlī Ben Ṣālaḥ
",علي بن صالح باي,,,1710,,,1713,3,Abdicated,unknown,unknown,unknown,unknown,unknown,unknown,1,unknown,"Vayssettes, 98-9; Mercier, 243-4; Gaïd, 29; Al-Antari, 53.","Son of Sala Bey. NOTE: Not the Salah Bey who ruled 1771-1792. He had three daughters whom he married to men of the Mokrani (Muqrani) tribe (Vayssettes, 98 by way of Feraud). After returning from his pilgrimage to Mecca (for which he abdicated office), he retired to the Zawiya of Sidi Ahmed-ben-Ali in the Medjana, where he lived as a hermit until the end of his days (Vayssettes, 98).","His daughter, Tourkia married El Hadj, the eldest son of the Muqrani family.",
Kelian-Hussein (Known as Bou-Kemia)      ,"ʿlyān Bāy Bū Khīma
",عليان باي بوخيمة,,,1713,,,1736,23,Died in office,Ottoman,1,Military general,unknown,unknown,unknown,1,Awlâd Balqâsam,"Vayssettes, 99-106; Mercier, 244-253; Gaïd, 29-32; Al-Antari, 54-6; Grangaud, V.2, p. 314.","""Mais lorsque [la] puissance [de la famille de Ferhat Bey] s'affaiblit et qu'ils ne purent plus résister, ni aux Arabes, ni aux bédouins, les Turcs envoyèrent un de leurs généraux, Hossein Keliani pour gouverner la ville"" (El Mobarek, 287). Known as ""l'homme au poignard,"" or the ""man with the dagger."" My best guess is that Bou-Kemia was Ottoman. Peysonnel, for what it's worth, described him as the ""Turkish general"" or ""général turc"" (Peysonnel, 290). Grangaud also uses Kelian Hussein Bey's marriage to an Algerian woman as evidence of a political marriage meant to affirm the beylical authority - the authority of the, presumably, Ottoman, bey. She compares Kelian's marriage with Salah Bey's marriage to an Algerian woman, and we know that Salah Bey was an Ottoman governor. (Grangaud, v. 2, 313-315). ","In 1725, he married the daughter of Si Sadira, leader of the Awlâd Balqâsam, a great tribe of the Aures (Grangaud, v. 2, 314)",
Hasssen Bey Ben Hussein (Known as Bou-Hanek)       ,Ḥassen Bāy Ben Ḥussein Bu Ḥanek, حسن باي بن حسين بوحنك,,,1736,,,1754,18,Died in office,Ottoman,unknown,unknown,unknown,unknown,unknown,1,Aurès Tribe,"Vayssettes, 107-111; Mercier, 254-262; Gaïd, 32; Al-Antari, 56-7.","""d'origine Turc, résidait à Alger."" (Gaïd, 32).  Son of Hussein. Which Hussein? (""fils de Hossein"" - inscribed on his tomb, related in Vayssettes, 110). Mercier writes that we don't know about his ""antecedents,"" but that it is likely that he had already exercised command in the province because he was doubly allied with Bou-Diaf. (Mercier, 254)","Married a daughter & sister-in-law of Bou-Diaf, sheikh of the Aures. (Mercier, 254)",
Hossein Bey (Known as Zereg-Ainou)         ,Ḥussein Ben Zereq ʿynū,حسين بن زرق عينو,,,1754,,,1756,2,Died of illness,Ottoman,1,Khalifa,unknown,unknown,unknown,1,Aurès Tribe,"Vayssettes, 111-117; Mercier, 262-266; Gaïd, 33; Al-Antari, 57-61.","""Turc de naissance"" (Mercier, 262). Called ""Zereg-Ainou,"" meaning ""the blue eyed."" Son-in-law of Hassen Bey (Bou-Hanek) (Mercier, 262; Vayssettes, 111, Gaïd, 33). He had previously exercised the the functions of Khalifa. (Vayssettes, 111)",Married mixed ethnicity daughter of Bou-Hanek and therefore married into the family of Bou Diaf,
Ahmed Bey Ben Ali (Known as El-Kolli) ,Aḥmed Bāy Ben ʿlī Al-Qulī min Medīna Al-Qul,أحمد باي بن علي القلي من مدينة القل,,,1756,,,1771,15,Died of illness,Ottoman,1,Janissary officer,القل Collo,unknown,Turkey,2,Ben Gana; Muqrani,"Vayssettes, 117-120 ; Mercier, 266-270; Gaïd, 33-38; Al-Antari, 61.","Janissary - an officer in the Ottoman military who participated in Zereg Ainou's campaign against Tunis (Mercier, 266; Vayssettes, 117-8). Considered a great warrior in Constantine. The high regard in which he was held favorably disposed the Constantinois toward his family (Bonnafont, 43). [Corroborated by Al-Anteri]",Married daughter of Mahmud Ibn Gana of the Ben Gana tribe; also married daughter of sheikh of the Muqrani tribe.,
Salah Bey,Ṣālaḥ Bāy,صالح بن مصطفى باي,,,1771,,,1792,21,Assassinated,Ottoman,1,Caid al-Awasi,unknown,Izmir,Turkey,2,Muqrani; Unknown,"Vayssettes, 121-145; Mercier, 271-291; Gaïd, 38-47; Al-Antari, 62-5; Grangaud, La Ville Imprenable.","Born in Izmir (Smyrna), Turkey (Gaïd, 38), moved to Algeria as a young man and joined the Janissaries (it seems that he voluntarily joined after arriving in Algeria). Served in the same unit as Ahmed Bey El Kolli, with whom he formed a lasting friendship. It was Ahmed El Kolli who promoted Salah through the ranks, eventually naming him Caïd Al-Awasi of the Haractas when Ahmed became bey (the same position that was Ahmed El Kolli's grandson's launchpad).  Assassinated on orders of Hassan Pacha, dey of Algiers.","Married Ahmed Bey El Kolli's daughter and a Constantinois (Algerian?) woman. (Gaïd, 38-47)",
Ibrahim Bey (Known as Bou Seba)     ,Brāhim Bāy Bu Aṣbaʿ,براهم باي بو اصبع,,,1792,,,1792,0.008219178082,Assassinated,Ottoman,1,Caid,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 145-153; Mercier, 286-288; Al-Antari, 66; Grangaud, 373; Roughton, 36-7.","""Ibrahim Bû Sab'a, ancien Qâ'id du Sébaou dans l'ouest."" (Grangaud, 373) If he was a qa'id (or general) of the western province, he was probably Ottoman (Roughton, 36-37). Installed 1 September 1791 before Salah Bey's assassination. ",,
Hussein Bey ben Bou Hanek ,Ḥussein Bāy Ben Bu Ḥanek,حسين باي بن حسن بوحنك,09,01,1792,01,30,1795,3,Assassinated,Kulughlu,unknown,unknown,Constantine,Constantine,Algeria,unknown,unknown,"Vayssettes, 155-158; Mercier, 291-301; Gaïd, 48; Al-Antari, 67","Son of Bou Hanek, who was Ottoman, which would make Hussein Bey, most likely, a Kulughlu. Named Muhammed Cherif as his khalifa. (Gaïd, 48).","Formerly a friend of Salah Bey, but they had a falling out, and the Dey, knowing of Hussein's desire for vengeance, placed him in the beylicate after the assassination of Salah Bey (Vaysettes, 2005). He was dying of a disease that ""made him lose his reason"" (Vaysettes, 2005), perhaps Syphilis,  but he was strangled on Dey Baba Hassan's orders before the disease overtook him. ",01-09-1792 to 30-01-1795
"Moustapha ben Soliman El-Ouznadji 
",Muṣṭafa Al-ūznājī,مصطفى الوزناجي,02,,1795,01,,1798,3,Assassinated,Ottoman,1,Bey,unknown,unknown,unknown,1,unknown,"Vayssettes, 158-160; Mercier, 301-304; Gaïd, 49; Al-Antari, 67-8.","""C'était un Turc, natif d'Alger"" (Vayssettes, 158; Mercier, 301). Served as bey of Medea for 20 years prior to governing Constantine. Named Hadj Mustapha Ingliz as his khalifa (Gaïd, 49), possibly demonstrating another patronage relationship. Redouan-Khodja, who had served under Salah Bey and Hossein Bou-Hanek Bey, continued in his position as Caïd ad-Dar. (Gaïd, 49)","After Moustapha ben Soliman's death, Fatima married Si Brahim Ben Djellab of Touggourt. This [marriage] earned the latter the support of his father-in-law in the war he waged against his brother Mohamed claiming the command of Ouled-Ghir.(Gaïd, 49). Moustapha was killed so the Dey of Algiers could seize his wealth (Mercier, 301-4).","He married Fatima, the daughter of Sheikh al-Arab, Debbah while serving as Bey in Constantine (Gaïd, 49)."
"Hadj-Mustapha Ben Hossein-Ingliz
",Al-Ḥāj Muṣṭafa Ingliz,الحاج مصطفى,01,,1798,05,,1803,5,Exiled,Ottoman,1,Khalifa,unknown,unknown,unknown,1,unknown,"Vayssettes, 160-164; Mercier, 304; Gaïd, 50-1; Al-Antari, 68-9.","""d'origine turque"" (Vayssettes, 160; Mercier, 304). Called ""The British"" because he had been captured by British ship as a child and spent 10 or 12 years in England. (Vayssettes, 160). He was well acquainted with the local administration, having been long established in Constantine with solid friendships with the autochthonous notables (Gaïd, 50). Served as Khalifa under Moustapha ben Soliman El Ouznadji (Mercier, 301). Chose Hamoud, son of Salah Bey, as his Khalifa who was subsequently poisoned. Mustapha replaced Hamoud with his own son, Ali. (Gaïd, 50)","""The services he had rendered to the administration, under Salah Bey, the abilities he had shown, in many circumstances, the perfect knowledge he had of the handling of affairs, designated him sufficiently to the choice of; therefore, his appointment was greeted with enthusiasm."" He was recalled to Algiers after 6 years of service because he could not rein in his ""perverse and vicious"" son, Ali. Mustapha-Ingliz's life was perserved only through the advocacy of his divan, and he eventually chose exile in Tunis (Vaysettes, 2005).",Jan 1798 - May 1803
"Osman Bey Ben Mohammed, Koulougli
",ʿthmān Bāy Ben Muḥammed,عثمان باي بن محمد,05,,1803,11,,1804,1,Killed in battle,Kulughlu,1,Bey,Oran,Oran,Algeria,unknown,unknown,"Vayssettes, 164-169; Mercier, 308; Gaïd, 52-54; Al-Antari, 69-71","""Osman, surnommé le Borgne, était Kourougli de naissance"" (Vayssettes, 164). Son of Mohammed-El-Kebir, the conqueror & former bey
 of Oran (Mercier, 308). Osman replaced his father as bey but Mostefa Pasha exiled him to Blida for insubbordination, restoring him to the post of bey, but in the East, two years later. (Gaïd, 52). Killed in battle with Kabyles.",,May 1803 - Nov 1804
Abd-Allah Bey Ben Ismail ,ʿbd Allah Bāy Ben Ismāʿīl,عبد الله باي اسماعيل,11,,1804,12,,1806,2,Assassinated,Ottoman,unknown,unknown,unknown,unknown,unknown,1,Aurès Tribe,"Vayssettes, 169-171; Mercier, 317-320; Gaïd, 54-56; Al-Antari, 72-4.","""un Turc 'de l'Est' (Vayssettes, 2005), nommé Abd-Allah ben Ismail"" (Mercier, 317). ""Le nouveau bey fut salué comme un libérateur. Toute la population se porta à sa rencontre, et son arrivée fit renaître la joie et l'espérance."" (Vayssettes, 169). ","Wife: Deikha, daughter of Hassen Bey. She was a woman of ""uncommon energy"" and served as her husband's closest advisor. More than once, she was associated with administrative works. Both were sentenced to death for Abd-Allah Bey's expression of the Constantinois' dismay over the Dey's granting the concession at La Calle to the English, with whom they were unaccustomed to dealing; the concession was previously held by the French. ",Nov 1804 - Dec 1806
"Hussein bey ben Salah Bey
",Ḥussein Bāy Ben Ṣālaḥ,حسين باي بن صالح,12,,1806,07,,1807,1,Assassinated,Kulughlu,0,None,unknown,unknown,Algeria,unknown,unknown,"Vayssettes, 171-174; Mercier, 320-328; Gaïd, 56; Al-Antari, 74-5.","Son of Salah Bey and an Algerian woman (Vayssettes, 171). ""Hossein-Bey était Kulughlu"" (Gaïd, 56).","Died young and did not leave any descendants. The Dey's Bash Agha (lieutenant) led an ill-fated offensive attack on the Tunisians, the loss of which he blamed on Hussein Bey. The Dey, without gathering further information, ordered the bey's summary execution. (Vaysettes, 2005)",Dec 1806 - July 1807
Ali Ben Youssef Bey ,ʿlī Bāy Ben Bābā ʿlī,علي باي بن بابا علي,08,,1807,09,,1808,1,Assassinated,Ottoman,1,Janissary,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 174-178; Mercier, 328-330; Gaid, 59; Al-Antari, 76-7.","""Le successeur de Hossein Ben-Salah fut un Turc prit dans les rangs de l'odjak d'Alger"" (Vayssettes, 174; Mercier, 328)","""Ali Bey fils de Baba-Ali, kaid du Sébaou"" (Gaid, 59; Vayssettes). He was known for his courage and the respect he inspired among his comrades (Vayssettes, 2005). Ali Bey was murdered by Ahmed Chaouche who sought to usurp his power after a failed coupe against the dey found Ahmed Chaouche exiled to Constantine. (Vayssettes, 2005).",Aug 1807 - Sept 1808
"Ahmed Chaouche, known as El-Kebayli         ",Ahmed Shāūsh Al-Qebāīlī,أحمد شاوش القبايلي,09,,1808,09,,1808,0.04109589041,Assassinated,Ottoman,1,Chaouche,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 178-185; Mercier, 329-334; Gaid, 62-65; Al-Antari, 77-78.","""un Turc, nommé Ahmed-Chaouch"" (Mercier, 329). Governed for 15 days.","""Quelques turcs mariés, et qui avaient leur famille à Constantine, vinrent lui représenter la consternation qui régnait partout."" (Vayssettes, 2005). This suggests that it was relatively common for Ottoman administrators to marry into local families in Constantine.",15 days in Sept 1808 
Ahmed Tobbal        ,Ahmed Tubāl Bāy, أحمد طوبال باي,,,1808,,,1811,3,Assassinated,Ottoman,1,Khalifa,unknown,unknown,unknown,unknown,unknown,"Vayssettes, 185-186; Mercier, 334-337; Gaid, 65-66; Al-Antari, 79.","""Ahmed-Tobbal, Turc de naissance, habitait depuis longtemps Constantine, lorsqu'il fut appelé par la confiance du pacha au gouvernement de la province."" (Vayssettes, 185)","Spent a great part of his career in Constantine, where he established himself after his retirement [before his elevation to Bey]. (Gaid, 65). ""Ahmed el-Tobbal continued to administer the province with great wisdom; and he had already reigned for two and a half years, when Algiers was ordered to put him to death. He had furnished the Jew David Bacri some time before with three loads of corn. The successor of Ali-Khodja, Hadj-Ali, one of the most shady and bloodthirsty deys that the regency has had, after having beheaded this same Bacri, sentenced all those who had had relationships with this Jew. Ahmed el-Tobbal, in spite of his services, could not escape this unjust condemnation. He was strangled and his successor was Naaman Bey."" (Vayssettes, 2005)","""bach-tobbal"" = chief of the drums and war music. Did Ahmed previously hold this position, thereby earning the nickname, ""Tobbal""? (Mercier, 214; al-Antari, 79)"
Mohammed Naman bey Ben-Ali  ,Muḥammed Nʿmān Bāy Ben ʿlī,محمد نعمان باي بن علي,,,1811,,,1814,3,Assassinated,Ottoman,1,Khalifa,unknown,unknown,unknown,1,"Married the sister of Maggoura Ben Bou-Rennane, one of the tribes of the Medjana, which was under the control of the Mokrani (Mercier, 337)","Vayssettes, 187-190; Mercier, 337-340; Gaïd, 66; Al-Antari, 80.","""Turc de naissance"" (Gaïd, 66). Former Khalifa of Abd-Allah Bey and son-in-law of Zereg-Ainou (Vayssettes, 187).","One remembers that in one of the previous campaigns against Tunis, Naaman had to give the command of the troops to Omar-Agha, aghah of Algiers. From there arose between these two characters a rivalry which soon degenerated into open hostilities.  A[nother] Turk, a native of Smyrna and a long-time resident of Constantine, took advantage of the dispositions of the two chiefs and succeeded, by denouncing Naaman Bey, to captivate the good graces of the Agha, so that he promised him to not neglect anything with the Pasha to have him named Bey in place of his rival. But Naaman administered the province with great distinction, and it was hardly to be supposed that the dey consented to dispossess him, without serious motives.  (Vayssettes, 2005).",
